index,value0,value1
278,590.9620361328,635.5274658203
279,590.2820434570,634.8674926758
280,589.6020507812,634.2075195312
281,588.9220581055,633.5475463867
282,588.2420654297,632.8875732422
283,587.5620727539,632.2276000977
284,586.8820800781,631.5676269531
285,586.2020874023,630.9076538086
286,585.5220947266,630.2476806641
287,584.8421020508,629.5877075195
288,584.1621093750,628.9277343750
289,583.4821166992,628.2677612305
290,582.8021240234,627.6077880859
291,582.1221313477,626.9478149414
292,581.4421386719,626.2878417969
293,580.7621459961,625.6278686523
294,580.0821533203,624.9678955078
295,579.4021606445,624.3079223633
296,578.7221679688,623.6479492188
297,578.0421752930,622.9879760742
298,577.3621826172,622.3280029297
299,576.6821899414,621.6680297852
300,576.0021972656,621.0080566406
301,575.3222045898,620.3480834961
302,574.6422119141,619.6881103516
303,573.9622192383,619.0281372070
304,573.2822265625,618.3681640625
305,572.6022338867,617.7081909180
306,571.9222412109,617.0482177734
307,571.2422485352,616.3882446289
308,570.5622558594,615.7282714844
309,569.8822631836,615.0682983398
310,569.2022705078,614.4083251953
311,568.5222778320,613.7483520508
312,567.8422851562,613.0883789062
313,567.1622924805,612.4284057617
314,566.4822998047,611.7684326172
315,565.8023071289,611.1084594727
316,565.1223144531,610.4484863281
317,564.4423217773,609.7885131836
318,563.7623291016,609.1285400391
319,563.0823364258,608.4685668945
320,562.4023437500,607.8085937500
321,561.7223510742,607.1486206055
322,561.0423583984,606.4886474609
323,560.3623657227,605.8286743164
324,559.6823730469,605.1687011719
325,559.0023803711,604.5087280273
326,558.3223876953,603.8487548828
327,557.6423950195,603.1887817383
328,556.9624023438,602.5288085938
329,556.2824096680,601.8688354492
330,555.6024169922,601.2088623047
331,554.9224243164,600.5488891602
332,554.2424316406,599.8889160156
333,553.5624389648,599.2289428711
334,552.8824462891,598.5689697266
335,552.2024536133,597.9089965820
336,551.5224609375,597.2490234375
337,550.8424682617,596.5890502930
338,550.1624755859,595.9290771484
339,549.4824829102,595.2691040039
340,548.8024902344,594.6091308594
341,548.1224975586,593.9491577148
342,547.4425048828,593.2891845703
343,546.7625122070,592.6292114258
344,546.0825195312,591.9692382812
345,545.4025268555,591.3092651367
346,544.7225341797,590.6492919922
347,544.0425415039,589.9893188477
348,543.3625488281,589.3293457031
349,542.6825561523,588.6693725586
350,542.0025634766,588.0093994141
351,541.3225708008,587.3494262695
352,540.6425781250,586.6894531250
353,539.9625854492,586.0294799805
354,539.2825927734,585.3695068359
355,538.6026000977,584.7095336914
356,537.9226074219,584.0495605469
357,537.2426147461,583.3895874023
358,536.5626220703,582.7296142578
359,535.8826293945,582.0696411133
360,535.2026367188,581.4096679688
361,534.5226440430,580.7496948242
362,533.8426513672,580.0897216797
363,533.1626586914,579.4297485352
364,532.4826660156,578.7697753906
365,531.8026733398,578.1098022461
366,531.1226806641,577.4498291016
367,530.4426879883,576.7898559570
368,529.7626953125,576.1298828125
369,529.0827026367,575.4699096680
370,528.4027099609,574.8099365234
371,527.7227172852,574.1499633789
372,527.0427246094,573.4899902344
373,526.3627319336,572.8300170898
374,525.6827392578,572.1700439453
375,525.0027465820,571.5100708008
376,524.3227539062,570.8500976562
377,523.6427612305,570.1901245117
378,522.9627685547,569.5301513672
379,522.2827758789,568.8701782227
380,521.6027832031,568.2102050781
381,520.9227905273,567.5502319336
382,520.2427978516,566.8902587891
383,519.5628051758,566.2302856445
384,518.8828125000,565.5703125000
385,518.2028198242,564.9103393555
386,517.5228271484,564.2503662109
387,516.8428344727,563.5903930664
388,516.1628417969,562.9304199219
389,515.4828491211,562.2704467773
390,514.8028564453,561.6104736328
391,514.1228637695,560.9505004883
392,513.4428710938,560.2905273438
393,512.7628784180,559.6305541992
394,512.0828857422,558.9705810547
395,511.4028930664,558.3106079102
396,510.7229003906,557.6506347656
397,510.0429077148,556.9906616211
398,509.3629150391,556.3306884766
399,508.6829223633,555.6707153320
400,508.0029296875,555.0107421875
401,507.3229370117,554.3507690430
402,506.6429443359,553.6907958984
403,505.9629516602,553.0308227539
404,505.2829589844,552.3708496094
405,504.6029663086,551.7108764648
406,503.9229736328,551.0509033203
407,503.2429809570,550.3909301758
408,502.5629882812,549.7309570312
409,501.8829956055,549.0709838867
410,501.2030029297,548.4110107422
