index,value0,value1
494,816.8381958008,848.7153930664
495,816.7054443359,848.6436157227
496,816.5958251953,848.5718383789
497,816.4862060547,848.5000610352
498,816.3765869141,848.4282836914
499,816.2669677734,848.3565063477
500,816.1573486328,848.2847290039
501,816.0477294922,848.2129516602
502,815.9381103516,848.1411743164
503,815.8284912109,848.0693969727
504,815.7188720703,847.9976196289
505,815.6092529297,847.9258422852
506,815.4996337891,847.8540649414
507,815.3900146484,847.7822875977
508,815.2803955078,847.7105102539
509,815.1707763672,847.6387329102
510,815.0611572266,847.5669555664
511,814.9515380859,847.4951782227
512,814.8419189453,847.4234008789
513,814.7322998047,847.3552246094
514,814.6226806641,847.2870483398
515,814.5130615234,847.2188720703
516,814.4034423828,847.1506958008
517,814.2938232422,847.0825195312
518,814.1842041016,847.0143432617
519,814.0745849609,846.9461669922
520,813.9649658203,846.8779907227
521,813.8553466797,846.8098144531
522,813.7457275391,846.7416381836
523,813.6361083984,846.6734619141
524,813.5264892578,846.6052856445
525,813.4168701172,846.5371093750
526,813.3072509766,846.4689331055
527,813.1976318359,846.4007568359
528,813.0880126953,846.3325805664
529,812.9783935547,846.2644042969
530,812.8687744141,846.1962280273
531,812.7591552734,846.1280517578
532,812.6495361328,846.0598754883
533,812.5399169922,845.9916992188
534,812.4302978516,845.9235229492
535,812.3206787109,845.8553466797
536,812.2110595703,845.7871704102
537,812.1014404297,845.7189941406
538,811.9918212891,845.6508178711
539,811.8822021484,845.5826416016
540,811.7725830078,845.5144653320
541,811.6629638672,845.4426879883
542,811.5533447266,845.3709106445
543,811.4437255859,845.2991333008
544,811.3341064453,845.2273559570
545,811.2244873047,845.1555786133
546,811.1148681641,845.0838012695
547,811.0052490234,845.0120239258
548,810.8956298828,844.9402465820
549,810.7860107422,844.8684692383
550,810.6763916016,844.7966918945
551,810.5667724609,844.7249145508
552,810.4571533203,844.6531372070
553,810.3475341797,844.5813598633
554,810.2379150391,844.5095825195
555,810.1282958984,844.4378051758
556,810.0186767578,844.3660278320
557,809.9090576172,844.2942504883
558,809.7994384766,844.2224731445
559,809.6898193359,844.1506958008
560,809.5802001953,844.0789184570
561,809.4705810547,844.0071411133
562,809.3609619141,843.9353637695
563,809.2513427734,843.8635864258
564,809.1417236328,843.7918090820
565,809.0321044922,843.7200317383
566,808.9224853516,843.6482543945
567,808.8244018555,843.5764770508
568,808.7263183594,843.5046997070
569,808.6282348633,843.4329223633
570,808.5301513672,843.3611450195
571,808.4320678711,843.2893676758
