index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
3428,377.3819885,373.8362427,500.4265747,320.9607849,137.6448517,376.6313477,377.3819885,31.29979324,nan,321.9145508,341.446167,280.7041931,nan,nan,17.63389015,-44.5982132,117.2826385,112.9425049,nan,-98.20185089,59.45920181,438.8984375
3429,377.1687317,373.689209,500.3095093,320.9408264,137.3295593,376.4051208,377.1687317,31.23596001,nan,321.7145386,341.2461548,280.604187,nan,nan,17.63389015,-44.96821213,117.354599,113.0173416,nan,-98.31021118,59.08920288,438.6994019
3430,376.9554749,373.525238,500.1922913,320.9208679,137.014267,376.178894,376.9554749,31.17212677,nan,321.5145264,341.0461426,280.5041809,nan,nan,17.63389015,-45.33821106,117.4265594,113.0921783,nan,-98.41857147,58.71920395,438.4934998
3431,376.742218,373.3755493,500.0830688,320.9009094,136.6989746,375.9526672,376.742218,31.10829353,nan,321.3145142,340.8461304,280.4041748,nan,nan,17.63389015,-45.70820999,117.4985199,113.1670151,nan,-98.52693176,58.34920502,438.2875977
3432,376.5289612,373.2341919,499.943634,320.8809509,136.3836823,375.7264404,376.5289612,31.0444603,nan,321.114502,340.6461182,280.3041687,nan,nan,17.63389015,-46.07820892,117.5704803,113.2418518,nan,-98.66238403,57.97920609,438.0816956
3433,376.3157043,373.0530701,499.8151245,320.8609924,136.0683899,375.5002136,376.3157043,30.9487114,nan,320.9144897,340.446106,280.2041626,nan,nan,17.63389015,-46.44820786,117.6424408,113.3166885,nan,-98.7978363,57.60920715,437.8757935
3434,376.1024475,372.89328,499.7044373,320.8410339,135.7136841,375.2739868,376.1024475,30.85296249,nan,320.7144775,340.2460938,280.1041565,nan,nan,17.63389015,-46.81820679,117.7144012,113.3915253,nan,-98.93328857,57.23920822,437.6698914
3435,375.9219971,372.7342529,499.6063843,320.8210754,135.3589783,375.04776,375.9219971,30.75721359,nan,320.5144653,340.0460815,280.0041504,nan,nan,17.63389015,-47.18820572,117.7863617,113.466362,nan,-99.06874084,56.86920929,437.4639893
3436,375.7415466,372.5820618,499.4694519,320.461792,135.0042725,374.8215332,375.7415466,30.66146469,nan,320.3144531,339.8460693,279.9041443,nan,nan,17.17328453,-47.55820465,117.8611984,113.5411987,nan,-99.06874084,56.49921036,437.2580872
3437,375.5610962,372.4065552,499.3512878,320.1025085,134.6889801,374.5953064,375.5610962,30.56571579,nan,320.1144409,339.6460571,279.8041382,nan,nan,16.71267891,-47.92820358,117.9360352,113.6160355,nan,-99.06874084,56.12921143,437.0521851
3438,375.3806458,372.2579041,499.2316589,319.7432251,134.3736877,374.3690796,375.3806458,30.46996689,nan,319.9144287,339.4460449,279.7041321,nan,nan,16.25207329,-48.29820251,118.0108719,113.6908722,nan,-99.06874084,55.75921249,436.846283
3439,375.1991577,372.0855713,499.113678,319.3839417,134.0583954,374.1428528,375.1991577,30.37421799,nan,319.7144165,339.2460327,279.604126,nan,nan,15.79146767,-48.66820145,118.0857086,113.7657089,nan,-99.06874084,55.38921356,436.6403809
3440,374.920166,371.9116821,498.9697876,319.0246582,133.743103,373.916626,374.920166,30.27846909,nan,319.5144043,339.0460205,279.5041199,nan,nan,15.33086109,-49.03820038,118.1605453,113.8405457,nan,-99.06874084,55.01921463,436.4344788
