index,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21
41,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,798.75,815.8864746,855.8864746,817.6464844,813.7108154,791.9411011,831.9411011,808.6500854,816.5636597,831.4702148,851.887146
42,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,798.5,815.8864746,855.8864746,817.6464844,813.6188354,791.2811279,831.2811279,808.4700928,816.5636597,831.4702148,851.887146
43,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,798.25,815.8864746,855.8864746,817.6464844,813.5268555,790.6211548,830.6211548,808.2901001,816.5636597,831.4702148,851.887146
44,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,798,815.8864746,855.8864746,817.6464844,813.4348755,789.9611816,829.9611816,808.1101074,816.5636597,831.4702148,851.887146
45,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,797.75,815.8864746,855.8864746,817.6464844,813.3428955,789.3012085,829.3012085,807.9301147,816.5636597,831.4702148,851.887146
46,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,797.5,815.8864746,855.8864746,817.6464844,813.2509155,788.6412354,828.6412354,807.7501221,816.5636597,831.4702148,851.887146
47,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,797.25,815.8864746,855.8864746,817.6464844,813.1589355,787.9812622,827.9812622,807.5701294,816.5636597,831.4702148,851.887146
48,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,797,815.8864746,855.8864746,817.6464844,813.0669556,787.3212891,827.3212891,807.3901367,816.5636597,831.4702148,851.887146
49,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,796.75,815.8864746,855.8864746,817.6464844,812.9749756,786.6613159,826.6613159,807.210144,816.5636597,831.4702148,851.887146
50,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,796.5,815.8864746,855.8864746,817.6464844,812.8829956,786.0013428,826.0013428,807.0301514,816.5636597,831.4702148,851.887146
51,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,796.25,815.8864746,855.8864746,817.6464844,812.7910156,785.3413696,825.3413696,806.8501587,816.5636597,831.4702148,851.887146
52,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,796,815.8864746,855.8864746,817.6464844,812.6990356,784.6813965,824.6813965,806.670166,816.5636597,831.4702148,851.887146
53,817.5594482,817.416687,817.8955078,797.2453613,875.5311279,818.5166016,817.5594482,810.8104248,816.4799194,815.5126343,855.5126343,795.75,815.8864746,855.8864746,817.6464844,812.6070557,784.0214233,824.0214233,806.4901733,816.5636597,831.4702148,851.887146
